what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1481324793574
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1481324793574
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1481324793581
os,sysinfo,,,"macosx",1481324793583
arch,sysinfo,,,"x86_64",1481324793583
ws,sysinfo,,,"cocoa",1481324793583
locale,sysinfo,,,"en_GB",1481324793583
processors,sysinfo,,,"4",1481324793583
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1481324793583
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1481324793583
java.specification.name,sysinfo,,,"Java Platform API Specification",1481324793583
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1481324793583
java.specification.version,sysinfo,,,"1.6",1481324793584
java.vendor,sysinfo,,,"Apple Inc.",1481324793584
java.version,sysinfo,,,"1.6.0_65",1481324793584
java.vm.info,sysinfo,,,"mixed mode",1481324793584
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1481324793584
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481324793584
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1481324793584
java.vm.specification.version,sysinfo,,,"1.0",1481324793584
java.vm.vendor,sysinfo,,,"Apple Inc.",1481324793584
java.vm.version,sysinfo,,,"20.65-b04-468",1481324793584
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1481324793853
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1481324793905
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1481324793911
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1481324795180
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1481324795363
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1481324795380
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1481324795414
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1481324796634
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1481324796658
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1481324796660
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1481324796661
