what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475999642494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475999818554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475999821513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475999826680
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1475999826708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475999828235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476000603637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476000628786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476000631901
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476000632085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476000633593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476000635704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476002725002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476002727652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476002729243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476002731638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004801767
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004807458
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004807475
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004826788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476004840243
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004844487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004851580
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004852634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004855449
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004859443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004864051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004865042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004866241
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004867240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004870373
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004878128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004882378
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004883365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004884572
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004889065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004894661
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004895605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004896894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476004898291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004901505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004902768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004914132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004915350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476004942205
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004945285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004947271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476004948082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004948687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004949956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476004960089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004960958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004963410
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004964466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004968031
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476004969033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004972237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476004973482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004975708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476004978256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476004988467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476004996227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476005006932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476005009717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476005013148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476005054869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476005067851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476005070507
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476005072439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476005075599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476005078475
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476005084803
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476005090166
