what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036099311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036111673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036113870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036116012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036120714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036122655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036124703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036125319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036181320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036235312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476036238889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476036240642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036253016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036256180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036262571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036264638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036349371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036350523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036351470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036353442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036356952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036366443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036421465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036422825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036430452
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036435447
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036445161
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036447850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036471068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036520137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476036529689
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.format",1476036539691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036614283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036616829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036630697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036633891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036794401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476036798667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476036809748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036813079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476036815286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476036819927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036822949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036827741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036836673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036839079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036851318
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036878793
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036881221
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036883746
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036886206
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1476036897306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036909381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476036917171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476036921096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036929136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1476036937528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1476036940478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036942405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036948644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036958414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036981154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036986026
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1476036990213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476036990719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476036993071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476037002659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476037041474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476037043821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476037048768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476037065810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476037067652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1476037080217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476037103098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1476037110518
